,FullName,URL
0,Joseph Finder,https://www.goodreads.com/book/show/7156505-the-9th-judgment?from_search=true&from_srp=true&qid=nrzhKzvoiW&rank=1
1,Madeline Miller,https://www.goodreads.com/book/show/35959740-circe?from_search=true&from_srp=true&qid=S2xqP9QYku&rank=1
2,James Rollins,https://www.goodreads.com/book/show/17250.The_Crucible?from_search=true&from_srp=true&qid=KxeAc7frkd&rank=1
3,Delia Owens,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing?from_search=true&from_srp=true&qid=QmIhYbRoJQ&rank=1
4,Mary Oliver,https://www.goodreads.com/book/show/34272476-devotions?from_search=true&from_srp=true&qid=1WquL1kzwS&rank=1
5,Greer Hendricks,https://www.goodreads.com/book/show/34189556-the-wife-between-us?from_search=true&from_srp=true&qid=ijI5Ush08B&rank=1
6,Sarah Pekkanen,https://www.goodreads.com/book/show/34189556-the-wife-between-us?from_search=true&from_srp=true&qid=ijI5Ush08B&rank=1
7,Gail Honeyman,https://www.goodreads.com/book/show/35900387-eleanor-oliphant-is-completely-fine?from_search=true&from_srp=true&qid=FiuiNNsSHx&rank=1
8,Kristina McMorris,https://www.goodreads.com/book/show/40216800-sold-on-a-monday?from_search=true&from_srp=true&qid=iujTGlhivb&rank=1
9,Lynsay Sands,https://www.goodreads.com/book/show/37868552-the-wrong-highlander?from_search=true&from_srp=true&qid=6IBKD8exFm&rank=1
10,Pam Jenoff,https://www.goodreads.com/book/show/39816076-the-lost-girls-of-paris?from_search=true&from_srp=true&qid=GhAGOPObcd&rank=1
11,Marie Benedict,https://www.goodreads.com/book/show/39971465-the-only-woman-in-the-room?from_search=true&from_srp=true&qid=FJxgYpcs1C&rank=1
12,James Patterson,https://www.goodreads.com/book/show/104217.The_House_Next_Door?from_search=true&from_srp=true&qid=PoslE0fGYT&rank=1
13,Rupi Kaur,https://www.goodreads.com/book/show/35606560-the-sun-and-her-flowers?from_search=true&from_srp=true&qid=BBvmbIwFwa&rank=1
14,Heather Morris,https://www.goodreads.com/book/show/38359036-the-tattooist-of-auschwitz?from_search=true&from_srp=true&qid=oLRoEBbbA7&rank=1
15,Naomi Alderman,https://www.goodreads.com/book/show/12609433-the-power-of-habit?from_search=true&from_srp=true&qid=eOhhlNX4E4&rank=1
16,Min Jin Lee,https://www.goodreads.com/book/show/34051011-pachinko?from_search=true&from_srp=true&qid=q58oj3dN3n&rank=1
