,Title,Author,Publisher,Description,Weeks on List,Date,Main Category,Subcategory
0,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",38,2024-02-04,FICTION,Combined Print & E-Book Fiction
1,IRON FLAME,Rebecca Yarros,Red Tower,The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.,11,2024-02-04,FICTION,Combined Print & E-Book Fiction
2,THE FURY,Alex Michaelides,Celadon,Violence erupts when a former movie star brings a group of her friends to her private Greek island for Easter.,1,2024-02-04,FICTION,Combined Print & E-Book Fiction
3,FIRST LIE WINS,Ashley Elston,Pamela Dorman,A woman who works for a mysterious boss takes on a new identity to dig up information on someone.,3,2024-02-04,FICTION,Combined Print & E-Book Fiction
4,THE HEAVEN & EARTH GROCERY STORE,James McBride,Riverhead,Secrets held by the residents of a dilapidated neighborhood come to life when a skeleton is found at the bottom of a well.,12,2024-02-04,FICTION,Combined Print & E-Book Fiction
5,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,31,2024-02-04,FICTION,Combined Print & E-Book Fiction
6,THE HOUSEMAID,Freida McFadden,Grand Central,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,31,2024-02-04,FICTION,Combined Print & E-Book Fiction
7,HOUSE OF EARTH AND BLOOD,Sarah J. Maas,Bloomsbury,Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.,8,2024-02-04,FICTION,Combined Print & E-Book Fiction
8,A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,The fifth book in the Court of Thorns and Roses series. Nesta Archeron is forced into close quarters with a warrior named Cassian.,8,2024-02-04,FICTION,Combined Print & E-Book Fiction
9,HOUSE OF SKY AND BREATH,Sarah J. Maas,Bloomsbury,The second book in the Crescent City series. Bryce Quinlan and Hunt Athalar must choose to fight or stay silent.,7,2024-02-04,FICTION,Combined Print & E-Book Fiction
10,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,120,2024-02-04,FICTION,Combined Print & E-Book Fiction
11,"HOLMES, MARPLE & POE",James Patterson and Brian Sitts,"Little, Brown",Three private investigators working in New York City draw the attention of an N.Y.P.D. detective.,2,2024-02-04,FICTION,Combined Print & E-Book Fiction
12,A LITTLE LIFE,Hanya Yanagihara,Anchor,"Four college friends, one with a traumatic past, move to New York seeking fame and fortune.",4,2024-02-04,FICTION,Combined Print & E-Book Fiction
13,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,63,2024-02-04,FICTION,Combined Print & E-Book Fiction
14,MIDNIGHT RUIN,Katee Robert,Sourcebooks Casablanca,The sixth book in the Dark Olympus series. Orpheus wants to get Eurydice back but things are complicated by Charon.,1,2024-02-04,FICTION,Combined Print & E-Book Fiction
0,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",37,2024-02-04,FICTION,Hardcover Fiction
1,IRON FLAME,Rebecca Yarros,Red Tower,The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.,11,2024-02-04,FICTION,Hardcover Fiction
2,THE FURY,Alex Michaelides,Celadon,Violence erupts when a former movie star brings a group of her friends to her private Greek island for Easter.,1,2024-02-04,FICTION,Hardcover Fiction
3,THE HEAVEN & EARTH GROCERY STORE,James McBride,Riverhead,Secrets held by the residents of a dilapidated neighborhood come to life when a skeleton is found at the bottom of a well.,22,2024-02-04,FICTION,Hardcover Fiction
4,FIRST LIE WINS,Ashley Elston,Pamela Dorman,A woman who works for a mysterious boss takes on a new identity to dig up information on someone.,3,2024-02-04,FICTION,Hardcover Fiction
5,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,89,2024-02-04,FICTION,Hardcover Fiction
6,"HOLMES, MARPLE & POE",James Patterson and Brian Sitts,"Little, Brown",Three private investigators working in New York City draw the attention of an N.Y.P.D. detective.,2,2024-02-04,FICTION,Hardcover Fiction
7,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.,34,2024-02-04,FICTION,Hardcover Fiction
8,EMILY WILDE'S MAP OF THE OTHERLANDS,Heather Fawcett,Del Rey,The second book in the Emily Wilde series. Emily goes with Bambleby to the Austrian Alps to release him from his family’s plans.,1,2024-02-04,FICTION,Hardcover Fiction
9,SANCTUARY OF THE SHADOW,Aurora Ascher,Red Tower,"When Harrow takes an interest in a winged beast new to the area, old enemies turn up to get their revenge on her.",2,2024-02-04,FICTION,Hardcover Fiction
10,THE LITTLE LIAR,Mitch Albom,Harper,"The actions of an 11-year-old boy help facilitate the delivery of Jewish residents, including his family, to Auschwitz.",10,2024-02-04,FICTION,Hardcover Fiction
11,THE EXCHANGE,John Grisham,Doubleday,"In a sequel to “The Firm,” Mitch McDeere, who is now a partner at the world’s largest law firm, gets caught up in a sinister plot.",14,2024-02-04,FICTION,Hardcover Fiction
12,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,64,2024-02-04,FICTION,Hardcover Fiction
13,THE COVENANT OF WATER,Abraham Verghese,Grove,Three generations of a family living on South India’s Malabar Coast suffer the loss of a family member by drowning.,35,2024-02-04,FICTION,Hardcover Fiction
14,TOM LAKE,Ann Patchett,Harper,"Three daughters, who return to their family orchard in the spring of 2020, learn about their mother’s relationship with a famous actor.",22,2024-02-04,FICTION,Hardcover Fiction
0,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,49,2024-02-04,FICTION,Paperback Trade Fiction
1,THE HOUSEMAID,Freida McFadden,Grand Central,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,39,2024-02-04,FICTION,Paperback Trade Fiction
2,A LITTLE LIFE,Hanya Yanagihara,Anchor,"Four college friends, one with a traumatic past, move to New York seeking fame and fortune.",28,2024-02-04,FICTION,Paperback Trade Fiction
3,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,142,2024-02-04,FICTION,Paperback Trade Fiction
4,TWISTED LOVE,Ana Huang,Bloom,The first book in the Twisted series. Secrets emerge when Ava explores things with her brother’s best friend.,32,2024-02-04,FICTION,Paperback Trade Fiction
5,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,124,2024-02-04,FICTION,Paperback Trade Fiction
6,A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,The fifth book in the Court of Thorns and Roses series. Nesta Archeron is forced into close quarters with a warrior named Cassian.,8,2024-02-04,FICTION,Paperback Trade Fiction
7,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,150,2024-02-04,FICTION,Paperback Trade Fiction
8,MIDNIGHT RUIN,Katee Robert,Sourcebooks Casablanca,The sixth book in the Dark Olympus series. Orpheus wants to get Eurydice back but things are complicated by Charon.,1,2024-02-04,FICTION,Paperback Trade Fiction
9,HOUSE OF EARTH AND BLOOD,Sarah J. Maas,Bloomsbury,Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.,12,2024-02-04,FICTION,Paperback Trade Fiction
10,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",62,2024-02-04,FICTION,Paperback Trade Fiction
11,ALL GOOD PEOPLE HERE,Ashley Flowers with Alex Kiester,Bantam,A journalist who returns to her hometown vows to find a missing girl and solve a 20-year-old cold case.,3,2024-02-04,FICTION,Paperback Trade Fiction
12,WILDFIRE,Hannah Grace,Atria,The second book in the Maple Hills series. Two summer camp counselors who previously had a one-night stand may run afoul of the camp’s rules.,16,2024-02-04,FICTION,Paperback Trade Fiction
13,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,128,2024-02-04,FICTION,Paperback Trade Fiction
14,HOUSE OF SKY AND BREATH,Sarah J. Maas,Bloomsbury,The second book in the Crescent City series. Bryce Quinlan and Hunt Athalar must choose to fight or stay silent.,5,2024-02-04,FICTION,Paperback Trade Fiction
0,KILLERS OF THE FLOWER MOON,David Grann,Doubleday,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",112,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
1,THE BOYS IN THE BOAT,Daniel James Brown,Penguin,The story of the American rowers who pursued gold at the 1936 Berlin Olympic Games; the basis of the film.,128,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
2,OATH AND HONOR,Liz Cheney,"Little, Brown",The former congresswoman from Wyoming recounts how she helped lead the Select Committee to Investigate the Jan. 6. Attack on the United States Capitol.,7,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
3,THE WAGER,David Grann,Doubleday,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,39,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
4,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",177,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
5,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,43,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
6,"THE KINGDOM, THE POWER, AND THE GLORY",Tim Alberta,Harper,The author of “American Carnage” looks at divisions within the American evangelical movement.,4,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
7,THE WOMAN IN ME,Britney Spears,Gallery,"The Grammy Award-winning pop star details her personal and professional experiences, including the years she spent under a conservatorship overseen by her father.",13,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
8,THINK AGAIN,Adam Grant,Viking,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,24,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
9,ELON MUSK,Walter Isaacson,Simon & Schuster,"The author of “The Code Breaker” traces Musk’s life and summarizes his work on electric vehicles, private space exploration and artificial intelligence.",19,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
10,MORE,Molly Roden Winter,Doubleday,A couple with small children choose to have an open marriage.,1,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
11,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,"The late actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.",28,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
